,plate,well,actual_name,ERCC_reads,Non_ERCC_reads,ERCC_to_non_ERCC,Genes_detected,Age,Age_color,experiment.ID,plate_color,scrublet_score,scrublet_doublet
F9_1000500803,1000500803,F9,F9-1000500803-zsGreen,159896,1844,86.71149675,5,PN90,#D62728,8,#8C564B,0.011138614,FALSE
F11_1000500804,1000500804,F11,F11-1000500804-zsGreen,99439,707706,0.140508912,2281,PN90,#D62728,8,#C49C94,0.067988669,FALSE
H7_1000500604,1000500604,H7,H7-1000500604-zsGreen,42467,615854,0.068956279,3663,PN21,#98DF8A,6,#FF7F0E,0.056856187,FALSE
G5_1000500802,1000500802,G5,G5-1000500802-zsGreen,29062,243887,0.119161743,2062,PN90,#D62728,8,#C5B0D5,0.056461731,FALSE
E9_1000500604,1000500604,E9,E9-1000500604-zsGreen,94066,663979,0.141670143,2080,PN21,#98DF8A,6,#FF7F0E,0.013986014,FALSE
D5_1000500803,1000500803,D5,D5-1000500803-zsGreen,67296,426646,0.15773264,1782,PN90,#D62728,8,#8C564B,0.056461731,FALSE
G9_1000500802,1000500802,G9,G9-1000500802-zsGreen,54277,2123,25.56617993,19,PN90,#D62728,8,#C5B0D5,0.011138614,FALSE
D8_1000500805,1000500805,D8,D8-1000500805-zsGreen,101346,683940,0.148179665,1856,PN90,#D62728,8,#E377C2,0.028423773,FALSE
B8_1000500703,1000500703,B8,B8-1000500703-zsGreen,90564,663033,0.136590486,1378,PN120,#2CA02C,7,#98DF8A,0.022869023,FALSE
D7_1000500604,1000500604,D7,D7-1000500604-zsGreen,106900,251347,0.425308438,862,PN21,#98DF8A,6,#FF7F0E,0.007541478,FALSE
D5_1000500604,1000500604,D5,D5-1000500604-zsGreen,36419,368049,0.098951498,2691,PN21,#98DF8A,6,#FF7F0E,0.016615385,FALSE
G8_1000500604,1000500604,G8,G8-1000500604-zsGreen,50744,537459,0.094414644,2531,PN21,#98DF8A,6,#FF7F0E,0.022869023,FALSE
E1_1000500805,1000500805,E1,E1-1000500805-zsGreen,140352,103950,1.35018759,640,PN90,#D62728,8,#E377C2,0.082926829,FALSE
A11_1000500604,1000500604,A11,A11-1000500604-zsGreen,71358,310355,0.229923797,1609,PN21,#98DF8A,6,#FF7F0E,0.007541478,FALSE
H7_1000500802,1000500802,H7,H7-1000500802-zsGreen,64219,547093,0.117382237,2316,PN90,#D62728,8,#C5B0D5,0.082926829,FALSE
F4_1000500703,1000500703,F4,F4-1000500703-zsGreen,72698,1074030,0.067687122,2028,PN120,#2CA02C,7,#98DF8A,0.030927835,FALSE
G8_1000500803,1000500803,G8,G8-1000500803-zsGreen,107077,769044,0.139233906,1807,PN90,#D62728,8,#8C564B,0.056461731,FALSE
E10_1000500604,1000500604,E10,E10-1000500604-zsGreen,38034,306161,0.124228755,2272,PN21,#98DF8A,6,#FF7F0E,0.011621472,FALSE
A7_1000500604,1000500604,A7,A7-1000500604-zsGreen,82658,316824,0.260895639,1329,PN21,#98DF8A,6,#FF7F0E,0.007541478,FALSE
C1_1000500803,1000500803,C1,C1-1000500803-zsGreen,128652,707568,0.181822807,1578,PN90,#D62728,8,#8C564B,0.056461731,FALSE
E8_1000500803,1000500803,E8,E8-1000500803-zsGreen,164752,713796,0.230811044,1445,PN90,#D62728,8,#8C564B,0.067988669,FALSE
E3_1000500703,1000500703,E3,E3-1000500703-zsGreen,22840,401724,0.056854955,2359,PN120,#2CA02C,7,#98DF8A,0.048582996,FALSE
C11_1000500804,1000500804,C11,C11-1000500804-zsGreen,106475,716998,0.148501112,1860,PN90,#D62728,8,#C49C94,0.039836568,FALSE
B12_1000500805,1000500805,B12,B12-1000500805-zsGreen,147669,834020,0.177056905,1314,PN90,#D62728,8,#E377C2,0.067988669,FALSE
G11_1000500604,1000500604,G11,G11-1000500604-zsGreen,99444,634571,0.156710597,1921,PN21,#98DF8A,6,#FF7F0E,0.011621472,FALSE
B1_1000500803,1000500803,B1,B1-1000500803-zsGreen,195366,40094,4.872699157,62,PN90,#D62728,8,#8C564B,0.039836568,FALSE
B6_1000500803,1000500803,B6,B6-1000500803-zsGreen,202757,10320,19.64699612,9,PN90,#D62728,8,#8C564B,0.011138614,FALSE
D7_1000500703,1000500703,D7,D7-1000500703-zsGreen,1,19,0.052631579,1,PN120,#2CA02C,7,#98DF8A,0.007541478,FALSE
F3_1000500803,1000500803,F3,F3-1000500803-zsGreen,93219,330523,0.282034836,1078,PN90,#D62728,8,#8C564B,0.056461731,FALSE
C3_1000500803,1000500803,C3,C3-1000500803-zsGreen,251670,9885,25.45978756,20,PN90,#D62728,8,#8C564B,0.016736402,FALSE
B10_1000500804,1000500804,B10,B10-1000500804-zsGreen,93911,804900,0.116674121,2107,PN90,#D62728,8,#C49C94,0.082926829,FALSE
